name of the place,category,latitude,longitude,description,timings,Place,Category,Timings
Kodandarama Temple,Temple,,,"Deity: Rama , Sita and Lakshmana. Location: Tirupati. Timeline: 10th Century. The 10th century temple is dedicated to Lord Rama , an incarnation of Vishnu , along with Sita and Lakshmana . According to Varaha Purana , during Treta Yuga , Rama resided here along with Sita and Lakshmana on his return from Lankapuri . [ 3 ]",,,,
Tataiahgunta gangamma Temple,Temple,,,"Deity: Gangamma. Location: Tirupati. Thathayyagunta Gangamma Temple is the temple dedicated to Goddess Gangamma, Gramadevata of Tirupati and sister of Lord Venkateswara . The temple is one of the ancient and is at the heart of the city. Tirupati Ganga Jatara celebrated every year in the month of May is the most auspiciuos occasion celebrated in this temple. The temple activities are looked after by Thathayya Gunta Gangamma Devastanam. [ 4 ]",,,,
"Vakula Matha Temple , Tirupati",Temple,,,"Deity: Vakula Devi. Location: Tirupati. Timeline: 17th Century. Vakula Devi is the foster mother of Lord Venkateswara. The temple in her name was built about 300 years ago on Perurubanda hillock, around the scenic Peruru, in Tirupati and located within 10 kilometers of Tirumala hills. As per the wishes of Vakula maata (mother), this temple was constructed in such a way that visage of maata faces the Seven Hills, where her son Lord Venkateswara resides.",,,,
Kalyana Venkateswara Temple,Temple,,,"Deity: Kalyana Venkateswara. Location: Srinivasamangapuram, Tirupati. This temple is at a distance of 12 km from Tirupati . It is believed that Lord Venkateswara stayed here for 6 months after marriage, before moving to Tirumala .",,,,
Prasanna Venkateswara Temple,Temple,,,"Deity: Prasanna Venkateswara. Location: Appalayagunta, Tirupati. Timeline: 1232 CE. This temple is at a distance of 16 km from Tirupati . The right hand(hasta) of presiding deity will be in prasanna(Abhaya-blessing) posture instead of usual varada posture in other venkateswara temples and hence the temple got the name Prasanna Venkateswara temple.",,,,
Parasurameswara Temple,Temple,,,"Deity: Shiva. Location: Gudimallam , Tirupati. Timeline: 3rd Century BCE [ 5 ]. The Shiva Linga in this temple is supposed to be the earliest Linga discovered so far. [ 5 ] This is one of the five ancient Shiva temples on the bank of Swarnamuki River",,,,
Agatheeswara Temple,Temple,,,Deity: Shiva. Location: Tondavada(Mukkoti). This temple is 10 km away from Tirupati. Shiva Linga in this Temple is believed to be installed by sage Agastya . [ citation needed ] This is one of the five ancient Shiva temples on the bank of Swarnamuki River.,,,,
Parasareswara Temple,Temple,,,Deity: Shiva. Location: Yogimallavaram. This temple is in Tiruchanur and is 3 km away from Tirupati. This is one of the five ancient Shiva temples on the bank of Swarnamuki River,,,,
Radha Govindha Lotus Mandir(ISCKON),Temple,,,"Deity: Krishna , Radha and Ashtabharyas. Location: Tirupati. Timeline: 1984(Old Temple) 2005(Lotus Temple). This temple is also referred to as Lotus Temple because of its design and also as Hare Krishna Temple.",,,,
"Kodandarama Temple, Chandragiri",Temple,,,"Deity: Rama, Sita, Lakshmana, Bharata, Shatrughna, Hanuman and Garuda. Location: Chandragiri. Timeline: 16th Century. A temple dedicated to Rama, where idols of Rama, Sita, Lakshmana, Bharata, Shatrughna, flanked by Hanuman and Garuda on either side can be seen on a single pedestal(Eka peetam) [ 6 ]",,,,
"Kalyana Venkateswara Temple, Narayanavanam",Temple,,,"Deity: Sri Kalyana Venkateswara and Padmavathi thayar. Location: Narayanavanam. Timeline: 16th Century. Sri Kalyana Venkateswaraswamy Temple is a Hindu-Vaishnavite temple situated at Narayanavanam, a town in Tirupati District of Andhra Pradesh state, India. The Temple is dedicated to Lord Kalyana Venkateswara, an incarnation of Vishnu. The temple is situated at 2 km east of Puttur and 45 km south of Tirupati. It is believed that Lord Venkateswara married Padmavati at this place and then moved to Tirumala.",,,,
